"2015-01-09T09:15:00+0530",8285.45,8303,8273.95,8281.55,0
"2015-01-09T10:15:00+0530",8281.5,8291.45,8277.95,8282.35,0
"2015-01-09T11:15:00+0530",8282.55,8283.2,8191.1,8221.85,0
"2015-01-09T12:15:00+0530",8222.85,8272.6,8198.4,8245.85,0
"2015-01-09T13:15:00+0530",8246.7,8251.65,8204.75,8225.2,0
"2015-01-09T14:15:00+0530",8224.75,8296.35,8224.75,8285.7,0
"2015-01-09T15:15:00+0530",8286.3,8288.05,8278.05,8280.25,0
"2015-01-12T09:15:00+0530",8291.35,8292.7,8245.6,8284.1,0
"2015-01-12T10:15:00+0530",8283.5,8297.3,8277.05,8281.35,0
"2015-01-12T11:15:00+0530",8280.9,8293.9,8263.4,8268.6,0
"2015-01-12T12:15:00+0530",8268.95,8275.4,8252.5,8272.8,0
"2015-01-12T13:15:00+0530",8272.85,8293.35,8265.65,8283.3,0
"2015-01-12T14:15:00+0530",8283.3,8323.6,8282.15,8319.95,0
"2015-01-12T15:15:00+0530",8319.55,8332.25,8318.6,8326.55,0
"2015-01-13T09:15:00+0530",8346.15,8355.9,8322,8336.7,0
"2015-01-13T10:15:00+0530",8337.1,8344.75,8332.15,8336.4,0
"2015-01-13T11:15:00+0530",8336.6,8343.4,8323.3,8340,0
"2015-01-13T12:15:00+0530",8340.05,8342.95,8321.3,8340.65,0
"2015-01-13T13:15:00+0530",8341.3,8356.65,8339.25,8339.25,0
"2015-01-13T14:15:00+0530",8339.8,8343,8268.15,8304.8,0
"2015-01-13T15:15:00+0530",8304.9,8309.3,8296.2,8303.8,0
"2015-01-14T09:15:00+0530",8307.25,8326.3,8286.85,8304,0
"2015-01-14T10:15:00+0530",8304.25,8308.5,8287.3,8290.1,0
"2015-01-14T11:15:00+0530",8290.2,8293.35,8271.7,8274.9,0
"2015-01-14T12:15:00+0530",8274.75,8277.55,8236.75,8257.9,0
"2015-01-14T13:15:00+0530",8258.2,8291.95,8244.05,8280.45,0
"2015-01-14T14:15:00+0530",8281.6,8301.9,8252.2,8272.8,0
"2015-01-14T15:15:00+0530",8273.05,8290.25,8269,8287.75,0
"2015-01-15T09:15:00+0530",8425.2,8452.65,8380.75,8407.8,0
"2015-01-15T10:15:00+0530",8407.4,8437.35,8399.1,8433.3,0
"2015-01-15T11:15:00+0530",8433.3,8468.55,8430.45,8459.75,0
"2015-01-15T12:15:00+0530",8459.45,8482.95,8451.75,8472.65,0
"2015-01-15T13:15:00+0530",8472.6,8496.7,8468.15,8491.1,0
"2015-01-15T14:15:00+0530",8490.8,8526.9,8487.1,8510.75,0
"2015-01-15T15:15:00+0530",8510.45,8511,8459.35,8461.15,0
"2015-01-19T09:15:00+0530",8553.4,8565.8,8548.2,8560.3,0
"2015-01-19T10:15:00+0530",8560.4,8570.8,8554.75,8566.7,0
"2015-01-19T11:15:00+0530",8566.55,8568.15,8540.7,8551,0
"2015-01-19T12:15:00+0530",8551.35,8556.8,8531.7,8553.4,0
"2015-01-19T13:15:00+0530",8553.45,8568.25,8552.25,8564.55,0
